State,Date,Total,Category
Iowa,5/1/2020,"  59,067,696 ",Beverages
Kansas,5/1/2020,"  47,926,649 ",Beverages
Kentucky,5/1/2020,"  91,668,507 ",Beverages
Louisiana,5/1/2020,"  89,999,954 ",Beverages
Maine,5/1/2020,"  25,024,726 ",Beverages
Maryland,5/1/2020,"  88,313,854 ",Beverages
Massachusetts,5/1/2020,"  98,080,456 ",Beverages
Michigan,5/1/2020,"  160,060,281 ",Beverages
Minnesota,5/1/2020,"  84,911,772 ",Beverages
Mississippi,5/1/2020,"  68,052,452 ",Beverages
Missouri,5/1/2020,"  100,260,344 ",Beverages
Nebraska,5/1/2020,"  32,423,172 ",Beverages
Nevada,5/1/2020,"  54,213,053 ",Beverages
New Hampshire,5/1/2020,"  30,026,949 ",Beverages
New Mexico,5/1/2020,"  35,901,902 ",Beverages
New York,5/1/2020,"  245,424,005 ",Beverages
North Carolina,5/1/2020,"  178,890,818 ",Beverages
Ohio,5/1/2020,"  194,707,669 ",Beverages
Oklahoma,5/1/2020,"  74,745,582 ",Beverages
Oregon,5/1/2020,"  59,870,249 ",Beverages
Pennsylvania,5/1/2020,"  196,391,974 ",Beverages
Rhode Island,5/1/2020,"  14,508,723 ",Beverages
South Carolina,5/1/2020,"  96,859,134 ",Beverages
South Dakota,5/1/2020,"  14,584,980 ",Beverages
Tennessee,5/1/2020,"  133,107,420 ",Beverages
